id,route,warehouse,delivery_time,delay_minutes,delay_reason,date
1232,Route D,WH4,4.3,42,Mechanical Issue,2023-08-06
1233,Route D,WH1,4.6,26,Traffic,2023-08-06
1234,Route D,WH4,7.8,83,Weather,2023-08-07
1235,Route A,WH2,3.8,0,,2023-08-07
1236,Route C,WH1,7.4,7,Staff Shortage,2023-08-07
1237,Route C,WH3,7.8,0,,2023-08-07
1238,Route D,WH2,4.4,114,Accident,2023-08-07
1239,Route A,WH1,4.8,71,Mechanical Issue,2023-08-08
1240,Route C,WH1,7.3,36,Accident,2023-08-08
1241,Route B,WH2,3.5,65,Weather,2023-08-08
1242,Route A,WH4,3.8,13,Traffic,2023-08-08
1243,Route C,WH2,5.2,0,,2023-08-08
1244,Route E,WH1,7.5,0,,2023-08-08
1245,Route D,WH2,3.3,113,Accident,2023-08-08
1246,Route B,WH2,8.0,109,Weather,2023-08-08
1247,Route B,WH1,6.3,112,Mechanical Issue,2023-08-09
1248,Route C,WH1,7.5,0,,2023-08-09
1249,Route A,WH3,5.5,67,Mechanical Issue,2023-08-09
1250,Route E,WH2,4.0,0,,2023-08-09
1251,Route B,WH1,3.6,40,Staff Shortage,2023-08-09
1252,Route D,WH3,3.0,49,Staff Shortage,2023-08-09
1253,Route A,WH4,4.6,43,Mechanical Issue,2023-08-09
1254,Route C,WH3,4.2,71,Accident,2023-08-09
1255,Route A,WH3,7.0,69,Staff Shortage,2023-08-10
1256,Route C,WH2,3.4,78,Accident,2023-08-10
1257,Route E,WH2,3.7,6,Weather,2023-08-10
1258,Route B,WH1,5.5,119,Accident,2023-08-10
1259,Route E,WH4,7.8,0,,2023-08-10
1260,Route B,WH1,3.1,28,Mechanical Issue,2023-08-10
1261,Route C,WH2,7.4,0,,2023-08-11
1262,Route D,WH3,5.3,86,Weather,2023-08-11
1263,Route D,WH3,6.4,120,Staff Shortage,2023-08-11
1264,Route D,WH4,4.7,20,Mechanical Issue,2023-08-11
1265,Route D,WH3,5.3,51,Staff Shortage,2023-08-11
1266,Route B,WH1,4.6,0,,2023-08-11
1267,Route A,WH1,3.0,75,Traffic,2023-08-11
1268,Route C,WH2,7.7,66,Weather,2023-08-11
1269,Route C,WH2,3.2,118,Staff Shortage,2023-08-12
1270,Route D,WH1,6.2,112,Accident,2023-08-12
1271,Route E,WH1,7.8,56,Weather,2023-08-12
1272,Route B,WH3,7.6,17,Staff Shortage,2023-08-13
1273,Route D,WH1,4.9,50,Traffic,2023-08-13
1274,Route A,WH1,7.1,73,Mechanical Issue,2023-08-13
1275,Route E,WH3,6.5,29,Accident,2023-08-13
1276,Route C,WH3,6.8,33,Traffic,2023-08-13
1277,Route C,WH4,7.5,118,Traffic,2023-08-13
1278,Route E,WH3,4.6,0,,2023-08-14
1279,Route C,WH2,5.7,8,Weather,2023-08-14
1280,Route D,WH1,5.9,85,Weather,2023-08-14
1281,Route D,WH3,6.9,0,,2023-08-14
1282,Route A,WH2,4.5,89,Accident,2023-08-14
1283,Route B,WH2,5.1,70,Staff Shortage,2023-08-14
1284,Route E,WH1,4.4,88,Weather,2023-08-14
1285,Route C,WH2,4.2,24,Staff Shortage,2023-08-15
1286,Route D,WH1,6.6,111,Weather,2023-08-15
1287,Route E,WH2,3.2,106,Mechanical Issue,2023-08-15
1288,Route D,WH2,3.1,102,Traffic,2023-08-15
1289,Route E,WH4,5.9,47,Mechanical Issue,2023-08-15
1290,Route E,WH1,3.3,36,Accident,2023-08-15
1291,Route D,WH2,6.5,21,Traffic,2023-08-15
1292,Route C,WH4,5.7,64,Traffic,2023-08-15
1293,Route E,WH1,7.7,88,Mechanical Issue,2023-08-16
1294,Route C,WH1,3.4,104,Staff Shortage,2023-08-16
1295,Route D,WH1,4.9,9,Accident,2023-08-16
1296,Route A,WH1,6.5,73,Accident,2023-08-17
1297,Route E,WH2,7.8,0,,2023-08-17
1298,Route D,WH4,4.2,46,Mechanical Issue,2023-08-17
1299,Route E,WH2,3.6,17,Accident,2023-08-18
1300,Route B,WH3,7.4,20,Staff Shortage,2023-08-18
1301,Route E,WH3,5.5,54,Traffic,2023-08-18
1302,Route C,WH3,7.9,46,Staff Shortage,2023-08-18
1303,Route C,WH4,4.6,120,Accident,2023-08-18
1304,Route E,WH3,4.7,8,Mechanical Issue,2023-08-18
1305,Route B,WH1,3.8,42,Weather,2023-08-18
1306,Route A,WH2,5.9,22,Staff Shortage,2023-08-19
1307,Route E,WH2,3.8,94,Traffic,2023-08-19
1308,Route E,WH2,7.8,48,Mechanical Issue,2023-08-19
1309,Route C,WH2,6.3,72,Staff Shortage,2023-08-19
1310,Route B,WH2,6.5,91,Weather,2023-08-20
1311,Route A,WH4,5.0,42,Mechanical Issue,2023-08-20
1312,Route B,WH1,4.4,25,Staff Shortage,2023-08-20
1313,Route E,WH4,5.3,88,Traffic,2023-08-20
1314,Route A,WH3,3.3,111,Traffic,2023-08-21
1315,Route E,WH3,7.7,75,Traffic,2023-08-21
1316,Route D,WH3,7.8,6,Accident,2023-08-21
1317,Route E,WH1,7.8,54,Mechanical Issue,2023-08-21
1318,Route C,WH3,5.7,36,Traffic,2023-08-21
1319,Route E,WH2,4.8,105,Accident,2023-08-22
1320,Route B,WH2,5.1,0,,2023-08-22
1321,Route E,WH3,5.7,108,Traffic,2023-08-22
1322,Route A,WH4,7.2,96,Traffic,2023-08-22
1323,Route E,WH3,5.9,61,Traffic,2023-08-22
1324,Route E,WH1,6.6,73,Mechanical Issue,2023-08-23
1325,Route E,WH3,5.9,0,,2023-08-23
1326,Route D,WH1,5.2,91,Accident,2023-08-23
1327,Route D,WH3,7.0,65,Accident,2023-08-23
1328,Route A,WH2,6.9,97,Traffic,2023-08-23
1329,Route E,WH3,4.5,54,Mechanical Issue,2023-08-23
1330,Route D,WH1,5.1,0,,2023-08-23
1331,Route E,WH1,4.5,0,,2023-08-24
1332,Route A,WH1,3.3,61,Accident,2023-08-24
1333,Route E,WH3,3.4,0,,2023-08-24
1334,Route B,WH1,3.8,34,Staff Shortage,2023-08-24
1335,Route C,WH1,6.7,87,Staff Shortage,2023-08-24
1336,Route E,WH1,6.0,35,Accident,2023-08-24
1337,Route C,WH4,4.5,0,,2023-08-24
1338,Route B,WH1,4.9,24,Weather,2023-08-25
1339,Route A,WH4,5.4,95,Traffic,2023-08-25
1340,Route D,WH2,4.6,41,Accident,2023-08-25
1341,Route E,WH2,5.3,68,Mechanical Issue,2023-08-25
1342,Route A,WH4,4.0,82,Accident,2023-08-25
1343,Route B,WH1,7.9,45,Weather,2023-08-26
1344,Route B,WH4,6.3,104,Accident,2023-08-26
1345,Route A,WH4,7.6,86,Staff Shortage,2023-08-26
1346,Route D,WH1,3.8,0,,2023-08-26
1347,Route D,WH3,4.9,55,Staff Shortage,2023-08-26
1348,Route D,WH3,6.0,90,Accident,2023-08-26
1349,Route B,WH1,6.7,12,Traffic,2023-08-27
1350,Route C,WH3,6.4,38,Mechanical Issue,2023-08-27
1351,Route D,WH3,7.9,0,,2023-08-27
1352,Route D,WH3,3.1,68,Weather,2023-08-28
1353,Route D,WH3,3.8,39,Accident,2023-08-28
1354,Route B,WH2,6.7,57,Mechanical Issue,2023-08-28
1355,Route B,WH3,6.7,79,Mechanical Issue,2023-08-28
1356,Route E,WH4,6.6,75,Weather,2023-08-28
1357,Route B,WH2,6.6,0,,2023-08-28
1358,Route A,WH4,6.6,75,Mechanical Issue,2023-08-29
1359,Route B,WH2,4.9,29,Mechanical Issue,2023-08-29
1360,Route A,WH3,4.4,29,Staff Shortage,2023-08-29
1361,Route B,WH3,6.9,26,Mechanical Issue,2023-08-29
1362,Route C,WH3,6.6,92,Mechanical Issue,2023-08-29
1363,Route E,WH2,4.8,35,Weather,2023-08-29
1364,Route D,WH2,5.0,114,Traffic,2023-08-29
1365,Route B,WH3,3.5,33,Mechanical Issue,2023-08-30
1366,Route B,WH1,4.0,83,Traffic,2023-08-30
1367,Route E,WH2,3.5,12,Accident,2023-08-30
1368,Route C,WH2,7.9,0,,2023-08-31
1369,Route C,WH4,6.4,13,Accident,2023-08-31
1370,Route E,WH4,5.0,110,Weather,2023-08-31
1371,Route B,WH2,6.4,14,Mechanical Issue,2023-08-31
1372,Route A,WH3,5.7,0,,2023-08-31
1373,Route A,WH1,5.2,106,Staff Shortage,2023-08-31
1374,Route A,WH1,6.0,0,,2023-08-31
1375,Route A,WH2,7.6,5,Weather,2023-09-01
1376,Route D,WH2,4.6,58,Accident,2023-09-01
1377,Route A,WH1,3.4,14,Accident,2023-09-01
1378,Route E,WH1,5.6,53,Weather,2023-09-02
1379,Route A,WH4,3.3,44,Traffic,2023-09-02
1380,Route C,WH2,4.0,19,Traffic,2023-09-02
1381,Route A,WH3,7.4,14,Staff Shortage,2023-09-02
1382,Route B,WH4,6.4,116,Accident,2023-09-02
1383,Route B,WH3,7.9,101,Accident,2023-09-03
1384,Route A,WH2,4.1,89,Weather,2023-09-03
1385,Route E,WH1,3.5,0,,2023-09-03
1386,Route E,WH4,4.6,6,Weather,2023-09-03
1387,Route D,WH2,7.6,38,Staff Shortage,2023-09-03
1388,Route A,WH3,5.0,0,,2023-09-03
1389,Route D,WH2,6.6,112,Accident,2023-09-03
1390,Route D,WH1,6.6,63,Mechanical Issue,2023-09-04
1391,Route C,WH1,4.3,55,Mechanical Issue,2023-09-04
1392,Route B,WH1,6.6,107,Traffic,2023-09-04
1393,Route D,WH2,3.8,108,Staff Shortage,2023-09-05
1394,Route B,WH4,8.0,0,,2023-09-05
1395,Route C,WH3,7.7,0,,2023-09-05
1396,Route A,WH3,3.6,117,Weather,2023-09-05
1397,Route A,WH3,3.1,0,,2023-09-05
1398,Route D,WH2,4.0,33,Traffic,2023-09-06
1399,Route B,WH2,3.1,86,Accident,2023-09-06
1400,Route E,WH3,4.1,15,Accident,2023-09-06
1401,Route C,WH2,6.9,0,,2023-09-07
1402,Route A,WH4,6.3,115,Weather,2023-09-07
1403,Route C,WH4,4.7,96,Traffic,2023-09-07
1404,Route E,WH4,7.3,38,Weather,2023-09-07
1405,Route B,WH3,5.3,0,,2023-09-07
1406,Route D,WH2,6.9,62,Staff Shortage,2023-09-07
1407,Route E,WH2,3.4,79,Staff Shortage,2023-09-08
1408,Route B,WH1,4.4,85,Traffic,2023-09-08
1409,Route D,WH4,4.6,16,Weather,2023-09-08
1410,Route A,WH2,4.0,0,,2023-09-08
1411,Route B,WH1,5.1,42,Mechanical Issue,2023-09-09
1412,Route B,WH1,7.7,13,Accident,2023-09-09
1413,Route B,WH1,5.3,100,Mechanical Issue,2023-09-09
1414,Route C,WH1,4.0,80,Accident,2023-09-09
1415,Route B,WH2,3.1,39,Staff Shortage,2023-09-09
1416,Route C,WH2,5.7,43,Weather,2023-09-10
1417,Route E,WH1,5.3,8,Weather,2023-09-10
1418,Route A,WH2,5.7,55,Staff Shortage,2023-09-10
1419,Route D,WH4,7.9,45,Mechanical Issue,2023-09-10
1420,Route C,WH3,7.0,0,,2023-09-10
1421,Route D,WH3,5.6,33,Weather,2023-09-11
1422,Route B,WH4,7.5,99,Mechanical Issue,2023-09-11
1423,Route C,WH4,6.5,70,Staff Shortage,2023-09-11
1424,Route E,WH4,6.6,96,Traffic,2023-09-12
1425,Route A,WH3,6.8,58,Staff Shortage,2023-09-12
1426,Route A,WH4,4.0,46,Accident,2023-09-12
1427,Route A,WH2,4.6,27,Traffic,2023-09-12
1428,Route E,WH4,5.0,63,Staff Shortage,2023-09-13
1429,Route E,WH3,6.9,38,Weather,2023-09-13
1430,Route A,WH3,5.2,71,Staff Shortage,2023-09-13
1431,Route C,WH3,4.3,48,Weather,2023-09-14
1432,Route A,WH2,3.2,53,Weather,2023-09-14
1433,Route E,WH1,3.9,13,Weather,2023-09-14
1434,Route D,WH2,5.4,30,Traffic,2023-09-15
1435,Route C,WH2,3.6,52,Weather,2023-09-15
1436,Route A,WH1,7.0,16,Traffic,2023-09-15
1437,Route E,WH2,7.2,39,Traffic,2023-09-16
1438,Route B,WH2,3.5,56,Staff Shortage,2023-09-16
1439,Route E,WH4,7.2,0,,2023-09-16
1440,Route D,WH3,7.5,0,,2023-09-16
1441,Route D,WH1,6.8,0,,2023-09-16
1442,Route D,WH3,4.1,74,Accident,2023-09-17
1443,Route B,WH3,6.5,89,Traffic,2023-09-17
1444,Route D,WH3,4.6,37,Weather,2023-09-17
1445,Route B,WH2,8.0,23,Mechanical Issue,2023-09-17
1446,Route D,WH3,7.3,45,Traffic,2023-09-18
1447,Route B,WH2,7.4,0,,2023-09-18
1448,Route A,WH2,3.4,0,,2023-09-18
1449,Route E,WH3,4.3,65,Mechanical Issue,2023-09-18
1450,Route E,WH2,7.7,11,Mechanical Issue,2023-09-18
1451,Route E,WH3,7.1,45,Weather,2023-09-18
1452,Route E,WH4,5.2,44,Weather,2023-09-18
1453,Route D,WH1,4.3,95,Mechanical Issue,2023-09-19
1454,Route D,WH4,5.0,27,Traffic,2023-09-19
1455,Route B,WH2,4.2,83,Accident,2023-09-19
1456,Route B,WH3,7.8,58,Staff Shortage,2023-09-19
1457,Route D,WH3,3.8,78,Accident,2023-09-19
1458,Route A,WH4,8.0,33,Traffic,2023-09-19
1459,Route A,WH1,5.8,40,Traffic,2023-09-20
1460,Route A,WH2,6.4,94,Accident,2023-09-20
1461,Route A,WH4,3.1,0,,2023-09-20
1462,Route A,WH1,7.4,82,Mechanical Issue,2023-09-20
1463,Route B,WH4,6.4,0,,2023-09-21
1464,Route E,WH1,7.2,81,Staff Shortage,2023-09-21
1465,Route B,WH3,7.6,7,Traffic,2023-09-21
1466,Route C,WH3,6.0,0,,2023-09-21
1467,Route D,WH1,5.5,17,Staff Shortage,2023-09-22
1468,Route E,WH1,3.9,118,Accident,2023-09-22
1469,Route A,WH1,5.5,27,Traffic,2023-09-22
1470,Route C,WH3,6.9,13,Mechanical Issue,2023-09-22
1471,Route D,WH3,5.4,113,Mechanical Issue,2023-09-22
1472,Route D,WH3,3.7,0,,2023-09-23
1473,Route D,WH2,5.1,0,,2023-09-23
1474,Route E,WH3,5.6,81,Staff Shortage,2023-09-23
1475,Route A,WH4,5.1,112,Mechanical Issue,2023-09-23
1476,Route A,WH3,6.2,74,Mechanical Issue,2023-09-23
1477,Route B,WH1,4.3,17,Traffic,2023-09-23
1478,Route B,WH1,6.4,22,Mechanical Issue,2023-09-24
1479,Route B,WH3,4.1,84,Staff Shortage,2023-09-24
1480,Route D,WH2,4.3,31,Traffic,2023-09-24
1481,Route A,WH2,6.5,77,Staff Shortage,2023-09-24
1482,Route C,WH3,6.3,116,Staff Shortage,2023-09-24
1483,Route D,WH3,7.4,74,Traffic,2023-09-24
1484,Route E,WH3,3.6,111,Accident,2023-09-24
1485,Route D,WH2,4.1,39,Weather,2023-09-24
1486,Route B,WH2,5.5,67,Traffic,2023-09-25
1487,Route A,WH3,3.3,27,Traffic,2023-09-25
1488,Route C,WH1,4.3,116,Weather,2023-09-25
1489,Route C,WH4,4.3,40,Mechanical Issue,2023-09-25
1490,Route C,WH1,5.4,80,Staff Shortage,2023-09-25
1491,Route B,WH2,4.7,74,Staff Shortage,2023-09-25
1492,Route E,WH2,5.6,119,Traffic,2023-09-25
1493,Route D,WH4,4.0,71,Traffic,2023-09-26
1494,Route D,WH1,3.9,0,,2023-09-26
1495,Route C,WH2,6.3,21,Mechanical Issue,2023-09-26
1496,Route D,WH1,3.4,0,,2023-09-26
1497,Route B,WH2,7.9,19,Weather,2023-09-27
1498,Route A,WH1,6.5,79,Accident,2023-09-27
1499,Route C,WH1,4.9,0,,2023-09-27
1500,Route C,WH1,6.2,30,Traffic,2023-09-27
1501,Route C,WH4,3.7,111,Accident,2023-09-28
1502,Route C,WH2,5.8,114,Mechanical Issue,2023-09-28
1503,Route B,WH4,4.8,0,,2023-09-28
1504,Route E,WH3,3.1,116,Mechanical Issue,2023-09-28
1505,Route D,WH1,6.3,95,Staff Shortage,2023-09-28
1506,Route C,WH3,5.4,79,Mechanical Issue,2023-09-28
1507,Route B,WH1,3.5,41,Traffic,2023-09-28
1508,Route A,WH3,5.6,76,Accident,2023-09-29
1509,Route A,WH1,6.2,76,Mechanical Issue,2023-09-29
1510,Route A,WH2,6.2,19,Traffic,2023-09-29
1511,Route E,WH2,7.5,98,Accident,2023-09-29
1512,Route A,WH2,3.2,80,Traffic,2023-09-29
1513,Route A,WH2,7.9,105,Traffic,2023-09-29
1514,Route A,WH3,6.0,96,Traffic,2023-09-29
1515,Route A,WH1,3.4,52,Mechanical Issue,2023-09-30
1516,Route E,WH3,4.9,92,Mechanical Issue,2023-09-30
1517,Route B,WH3,7.0,13,Staff Shortage,2023-09-30
1518,Route D,WH4,6.0,43,Weather,2023-09-30
1519,Route E,WH1,7.0,0,,2023-09-30
1520,Route D,WH2,7.1,78,Accident,2023-09-30
1521,Route A,WH3,5.9,0,,2023-10-01
1522,Route A,WH4,4.1,14,Accident,2023-10-01
1523,Route D,WH3,7.0,0,,2023-10-01
1524,Route D,WH2,6.8,7,Accident,2023-10-01
1525,Route A,WH2,6.9,12,Accident,2023-10-01
1526,Route A,WH4,4.0,14,Staff Shortage,2023-10-01
1527,Route E,WH2,4.9,93,Accident,2023-10-01
1528,Route A,WH2,5.6,0,,2023-10-01
1529,Route C,WH4,4.3,112,Accident,2023-10-02
1530,Route A,WH1,6.9,79,Weather,2023-10-02
1531,Route B,WH4,6.7,0,,2023-10-02
1532,Route E,WH1,4.1,0,,2023-10-03
1533,Route B,WH1,5.0,24,Mechanical Issue,2023-10-03
1534,Route A,WH1,5.5,21,Weather,2023-10-03
1535,Route E,WH2,4.3,95,Staff Shortage,2023-10-03
1536,Route C,WH4,4.9,19,Mechanical Issue,2023-10-04
1537,Route B,WH2,6.4,33,Accident,2023-10-04
1538,Route C,WH2,3.5,33,Weather,2023-10-04
1539,Route A,WH4,6.3,111,Mechanical Issue,2023-10-04
1540,Route D,WH3,4.8,45,Mechanical Issue,2023-10-04
1541,Route A,WH1,5.2,75,Traffic,2023-10-05
1542,Route B,WH1,3.9,39,Staff Shortage,2023-10-05
1543,Route E,WH1,4.9,15,Staff Shortage,2023-10-05
1544,Route E,WH1,5.3,29,Weather,2023-10-05
1545,Route E,WH2,4.0,60,Mechanical Issue,2023-10-05
1546,Route C,WH2,3.3,77,Mechanical Issue,2023-10-05
1547,Route B,WH2,3.2,12,Weather,2023-10-06
1548,Route D,WH3,6.0,0,,2023-10-06
1549,Route E,WH3,7.4,32,Weather,2023-10-06
1550,Route A,WH1,7.8,19,Weather,2023-10-06
1551,Route E,WH3,3.6,0,,2023-10-06
1552,Route C,WH2,6.2,25,Accident,2023-10-06
1553,Route C,WH3,3.2,6,Staff Shortage,2023-10-06
1554,Route E,WH2,7.6,16,Traffic,2023-10-06
1555,Route B,WH2,4.5,65,Staff Shortage,2023-10-07
1556,Route C,WH1,6.4,31,Traffic,2023-10-07
1557,Route D,WH2,6.7,96,Mechanical Issue,2023-10-07
1558,Route D,WH3,7.5,42,Traffic,2023-10-08
1559,Route A,WH2,5.8,98,Staff Shortage,2023-10-08
1560,Route D,WH3,7.0,16,Mechanical Issue,2023-10-08
1561,Route D,WH1,6.2,51,Traffic,2023-10-08
1562,Route D,WH1,6.4,107,Traffic,2023-10-08
1563,Route E,WH4,5.8,46,Mechanical Issue,2023-10-08
1564,Route A,WH2,7.6,0,,2023-10-08
1565,Route E,WH1,5.6,17,Mechanical Issue,2023-10-09
1566,Route D,WH1,7.6,52,Accident,2023-10-09
1567,Route B,WH4,7.9,54,Weather,2023-10-09
1568,Route B,WH3,6.6,29,Mechanical Issue,2023-10-09
1569,Route E,WH2,7.6,0,,2023-10-09
1570,Route A,WH2,6.2,104,Weather,2023-10-09
1571,Route C,WH2,7.0,48,Staff Shortage,2023-10-09
1572,Route E,WH4,3.2,55,Traffic,2023-10-09
1573,Route A,WH3,3.2,0,,2023-10-10
1574,Route D,WH2,7.5,120,Traffic,2023-10-10
1575,Route A,WH3,6.7,84,Staff Shortage,2023-10-10
1576,Route E,WH4,4.5,59,Weather,2023-10-10
1577,Route E,WH1,6.7,0,,2023-10-10
1578,Route B,WH1,4.5,37,Weather,2023-10-10
1579,Route A,WH2,3.5,7,Staff Shortage,2023-10-10
1580,Route B,WH1,3.2,91,Weather,2023-10-10
1581,Route C,WH4,7.8,101,Mechanical Issue,2023-10-11
1582,Route D,WH2,3.1,66,Accident,2023-10-11
1583,Route D,WH1,5.1,0,,2023-10-11
1584,Route C,WH2,4.3,103,Traffic,2023-10-11
1585,Route E,WH3,5.8,65,Traffic,2023-10-11
1586,Route E,WH4,5.6,84,Weather,2023-10-11
1587,Route C,WH3,4.3,0,,2023-10-12
1588,Route A,WH3,6.9,43,Traffic,2023-10-12
1589,Route C,WH2,4.9,90,Weather,2023-10-12
1590,Route C,WH2,3.9,113,Weather,2023-10-12
1591,Route D,WH1,3.2,0,,2023-10-13
1592,Route D,WH3,6.8,0,,2023-10-13
1593,Route B,WH3,5.3,23,Mechanical Issue,2023-10-13
1594,Route A,WH1,3.4,0,,2023-10-14
1595,Route E,WH2,3.6,110,Mechanical Issue,2023-10-14
1596,Route B,WH3,3.0,0,,2023-10-14
1597,Route E,WH2,6.3,55,Weather,2023-10-14
1598,Route D,WH2,6.9,19,Weather,2023-10-14
1599,Route B,WH3,4.0,0,,2023-10-14
1600,Route D,WH3,4.7,55,Mechanical Issue,2023-10-14
1601,Route E,WH3,3.3,0,,2023-10-14
1602,Route C,WH1,5.2,114,Accident,2023-10-15
1603,Route C,WH2,3.7,0,,2023-10-15
1604,Route E,WH4,4.1,112,Mechanical Issue,2023-10-15
1605,Route C,WH4,5.7,6,Mechanical Issue,2023-10-15
1606,Route D,WH2,4.9,20,Traffic,2023-10-15
1607,Route B,WH1,6.1,48,Accident,2023-10-15
1608,Route A,WH4,5.8,30,Accident,2023-10-15
1609,Route A,WH2,7.4,53,Traffic,2023-10-15
1610,Route D,WH4,4.9,78,Weather,2023-10-16
1611,Route C,WH2,5.7,88,Traffic,2023-10-16
1612,Route E,WH1,5.6,113,Staff Shortage,2023-10-16
1613,Route E,WH3,7.2,0,,2023-10-17
1614,Route C,WH4,3.9,69,Weather,2023-10-17
1615,Route B,WH4,4.5,36,Weather,2023-10-17
1616,Route D,WH3,6.2,97,Weather,2023-10-17
1617,Route E,WH2,7.9,101,Accident,2023-10-17
1618,Route B,WH2,4.5,74,Accident,2023-10-17
1619,Route D,WH1,6.2,0,,2023-10-17
1620,Route B,WH1,8.0,96,Traffic,2023-10-17
1621,Route E,WH2,7.5,83,Traffic,2023-10-18
1622,Route C,WH4,4.2,5,Accident,2023-10-18
1623,Route E,WH4,5.5,89,Weather,2023-10-18
1624,Route C,WH2,5.6,116,Staff Shortage,2023-10-18
1625,Route E,WH2,3.1,118,Mechanical Issue,2023-10-18
1626,Route B,WH2,6.7,0,,2023-10-18
1627,Route B,WH1,6.4,45,Mechanical Issue,2023-10-19
1628,Route B,WH2,5.0,66,Accident,2023-10-19
1629,Route B,WH1,4.8,75,Weather,2023-10-19
1630,Route D,WH4,7.0,85,Staff Shortage,2023-10-19
1631,Route B,WH3,7.4,30,Staff Shortage,2023-10-20
1632,Route D,WH1,4.0,57,Weather,2023-10-20
1633,Route D,WH2,4.5,102,Weather,2023-10-20
1634,Route D,WH1,4.5,67,Accident,2023-10-20
1635,Route B,WH3,6.8,104,Accident,2023-10-20
1636,Route A,WH3,7.4,17,Accident,2023-10-20
1637,Route C,WH1,4.4,79,Traffic,2023-10-20
1638,Route A,WH4,7.0,82,Accident,2023-10-20
1639,Route D,WH2,6.2,0,,2023-10-21
1640,Route B,WH1,7.8,0,,2023-10-21
1641,Route A,WH1,6.9,11,Traffic,2023-10-21
1642,Route E,WH2,6.9,33,Accident,2023-10-22
1643,Route A,WH4,6.1,9,Weather,2023-10-22
1644,Route B,WH3,4.8,0,,2023-10-22
1645,Route C,WH4,4.4,63,Traffic,2023-10-22
1646,Route A,WH2,4.9,64,Traffic,2023-10-22
1647,Route A,WH3,5.6,0,,2023-10-23
1648,Route E,WH2,6.5,43,Accident,2023-10-23
1649,Route D,WH1,7.5,11,Staff Shortage,2023-10-23
1650,Route E,WH3,5.7,114,Weather,2023-10-24
1651,Route C,WH2,4.5,0,,2023-10-24
1652,Route A,WH4,3.9,74,Traffic,2023-10-24
1653,Route A,WH2,4.9,100,Mechanical Issue,2023-10-24
1654,Route A,WH1,5.8,96,Staff Shortage,2023-10-24
1655,Route A,WH2,3.3,16,Mechanical Issue,2023-10-24
1656,Route E,WH4,3.1,98,Traffic,2023-10-24
1657,Route D,WH4,5.4,9,Accident,2023-10-24
1658,Route C,WH3,6.9,70,Weather,2023-10-25
1659,Route C,WH2,5.1,51,Weather,2023-10-25
1660,Route C,WH1,7.7,32,Traffic,2023-10-25
1661,Route A,WH3,6.8,56,Traffic,2023-10-25
1662,Route C,WH3,4.6,0,,2023-10-26
1663,Route E,WH4,7.3,48,Accident,2023-10-26
1664,Route B,WH1,7.0,34,Accident,2023-10-26
1665,Route E,WH2,7.4,0,,2023-10-26
1666,Route B,WH2,7.4,76,Mechanical Issue,2023-10-26
1667,Route B,WH1,4.5,19,Accident,2023-10-26
1668,Route C,WH4,4.6,0,,2023-10-26
1669,Route B,WH1,6.9,80,Traffic,2023-10-26
1670,Route C,WH2,7.5,110,Traffic,2023-10-27
1671,Route B,WH1,6.0,39,Staff Shortage,2023-10-27
1672,Route C,WH4,4.1,95,Mechanical Issue,2023-10-27
1673,Route A,WH1,4.1,84,Accident,2023-10-27
1674,Route C,WH3,5.7,0,,2023-10-27
1675,Route C,WH4,3.6,0,,2023-10-28
1676,Route E,WH2,7.2,22,Traffic,2023-10-28
1677,Route A,WH4,5.1,115,Accident,2023-10-28
1678,Route D,WH3,6.2,77,Traffic,2023-10-29
1679,Route A,WH3,5.4,86,Weather,2023-10-29
1680,Route C,WH4,4.8,0,,2023-10-29
1681,Route A,WH1,4.2,84,Weather,2023-10-29
1682,Route E,WH2,4.9,85,Accident,2023-10-29
1683,Route C,WH4,4.2,33,Staff Shortage,2023-10-29
1684,Route C,WH4,7.4,56,Accident,2023-10-29
1685,Route D,WH3,3.1,26,Weather,2023-10-30
1686,Route E,WH1,7.4,20,Weather,2023-10-30
1687,Route A,WH4,5.6,64,Accident,2023-10-30
1688,Route C,WH4,6.7,118,Traffic,2023-10-30
1689,Route E,WH4,7.1,112,Accident,2023-10-30
1690,Route C,WH1,3.3,49,Accident,2023-10-30
1691,Route C,WH4,4.1,14,Weather,2023-10-30
1692,Route D,WH2,3.4,70,Accident,2023-10-30
1693,Route C,WH3,6.4,0,,2023-10-31
1694,Route B,WH3,7.0,71,Staff Shortage,2023-10-31
1695,Route D,WH3,7.1,61,Mechanical Issue,2023-10-31
1696,Route C,WH4,7.4,41,Mechanical Issue,2023-10-31
1697,Route D,WH1,7.6,50,Traffic,2023-10-31
1698,Route D,WH3,3.9,0,,2023-10-31
1699,Route A,WH1,7.9,5,Weather,2023-10-31
1700,Route B,WH3,6.0,110,Weather,2023-10-31
1701,Route D,WH3,4.8,105,Traffic,2023-11-01
1702,Route B,WH1,5.3,86,Weather,2023-11-01
1703,Route A,WH2,6.5,50,Traffic,2023-11-01
1704,Route C,WH4,3.8,0,,2023-11-01
1705,Route D,WH2,5.8,32,Accident,2023-11-02
1706,Route D,WH1,4.5,0,,2023-11-02
1707,Route C,WH1,4.6,64,Accident,2023-11-02
1708,Route E,WH1,7.4,62,Mechanical Issue,2023-11-02
1709,Route A,WH1,5.4,37,Traffic,2023-11-02
1710,Route B,WH1,7.4,109,Weather,2023-11-03
1711,Route B,WH2,6.4,40,Mechanical Issue,2023-11-03
1712,Route E,WH2,7.5,38,Traffic,2023-11-03
